ML Model,Actual Value,Predicted Value,% Error,Avg % Error
TFLANN,23007.5903614458,23768.56138060618,3.31,23.95
TFLANN,29581.203373494,26577.37520855196,10.15,23.95
TFLANN,36154.8163855422,37457.584332930004,3.6,23.95
TFLANN,30120.7380722891,44331.648665612316,47.18,23.95
TFLANN,19237.5477108433,23462.721186831444,21.96,23.95
TFLANN,13508.9645783133,6847.058321752232,49.31,23.95
TFLANN,14996.8315662651,8182.892447701925,45.44,23.95
TFLANN,17260.9207228916,14197.619138886479,17.75,23.95
TFLANN,25734.7872289157,18840.149723671595,26.79,23.95
TFLANN,34208.6537349398,34881.1859867584,1.97,23.95
TFLANN,30204.4526506024,44625.385067620475,47.74,23.95
TFLANN,23188.3042168675,26027.16777609558,12.24,23.95
CFLANN,23007.5903614458,31137.94420337862,35.34,32.09
CFLANN,29581.203373494,29931.257775745435,1.18,32.09
CFLANN,36154.8163855422,35762.416197789134,1.09,32.09
CFLANN,30120.7380722891,44346.8815697768,47.23,32.09
CFLANN,19237.5477108433,23405.171198202486,21.66,32.09
CFLANN,13508.9645783133,2417.0130344900263,82.11,32.09
CFLANN,14996.8315662651,7148.490376003854,52.33,32.09
CFLANN,17260.9207228916,14934.732469362167,13.48,32.09
CFLANN,25734.7872289157,15764.409255626972,38.74,32.09
CFLANN,34208.6537349398,47951.83266816492,40.17,32.09
CFLANN,30204.4526506024,40949.285016704765,35.57,32.09
CFLANN,23188.3042168675,26927.601677084556,16.13,32.09
LFLANN,23007.5903614458,31137.944203378676,35.34,32.09
LFLANN,29581.203373494,29931.257775745464,1.18,32.09
LFLANN,36154.8163855422,35762.41619778915,1.09,32.09
LFLANN,30120.7380722891,44346.881569776815,47.23,32.09
LFLANN,19237.5477108433,23405.171198202483,21.66,32.09
LFLANN,13508.9645783133,2417.01303448999,82.11,32.09
LFLANN,14996.8315662651,7148.490376003841,52.33,32.09
LFLANN,17260.9207228916,14934.732469362185,13.48,32.09
LFLANN,25734.7872289157,15764.409255626988,38.74,32.09
LFLANN,34208.6537349398,47951.83266816499,40.17,32.09
LFLANN,30204.4526506024,40949.28501670477,35.57,32.09
LFLANN,23188.3042168675,26927.601677084553,16.13,32.09
